global_ordinal,source_sha256,output_sha256,output_pixel_sha256,base_crop_pixel_sha256,transform_decision,deskew_correction_degrees,crop_left,crop_top,crop_right_exclusive,crop_bottom_exclusive,source_width,source_height,output_width,output_height,detector_confidence
284,e98d4c7c9cda238a1983b85e8b7698183ed7e6dc73cf1d115dc040346dc21b36,b5c4557a29c153dbb39e6b27fa225949061790b8e3b4e9e3696ed9753472990f,3e95024addd3e15c024389ca8eaaafaecec5245fa053560e952fe3b816139d1a,3e95024addd3e15c024389ca8eaaafaecec5245fa053560e952fe3b816139d1a,preserve,0.0,119,69,1513,1292,1594,1361,1394,1223,0.9924999999999999
285,df23a3b531837598976c83665ea1d7915e376d22968a0105c8296ca390a73d16,d4b0500a1fa3dd17f59d7a6ad4f05c486a6817fb2fa8fb8aae9de6974d6fd28a,f0decbf5d851cbb74e3e6160762694ed962e83191dec3a08dae2fefeb8b5c099,f0decbf5d851cbb74e3e6160762694ed962e83191dec3a08dae2fefeb8b5c099,preserve,0.0,153,62,1558,1296,1690,1361,1405,1234,0.9924999999999999
286,c66d2f28e503661a3a8912d5b8d4a0c6557ebf595ea5d1398c67fbb4f902cebd,5304a4405a5cce98e7e4b8cd6d48b1ea7efa2780796d753229fc11190bffb23b,5db4335ccf4d49892f526c645892b3bba8051df24f1cf66d5ef7956e6bce7223,5db4335ccf4d49892f526c645892b3bba8051df24f1cf66d5ef7956e6bce7223,preserve,0.0,155,64,1550,1289,1642,1361,1395,1225,0.9924999999999999
287,174d98e46cd83fcaf71dff574f18d10c40b50d65f11b9dfbd00103a2c30333c4,be49647726df2d08c56ccc06bfca378acc720de1d3c343c06e7374b5982e3af2,7fc64f25d20ea64612a11161f8b0645c0e88bb913fa8d226a8e96c169b3424f2,7fc64f25d20ea64612a11161f8b0645c0e88bb913fa8d226a8e96c169b3424f2,preserve,0.0,127,60,1532,1292,1630,1361,1405,1232,0.9924999999999999
288,8b232d611d5ecc069dd69acaed1846f0d86069115f2b794b0dd8839c49d3e6b0,37f21656f77478bf8b86fdc4612fe948faf850f0b98a8f8bd72d7652e3b948cf,df7e4b1bc1f484ebae91358ae6d8ce6040c471917b1dcd0e70647f7cce132bb0,df7e4b1bc1f484ebae91358ae6d8ce6040c471917b1dcd0e70647f7cce132bb0,preserve,0.0,117,73,1511,1294,1594,1361,1394,1221,0.9924999999999999
289,e6ea8ed70b5dafc409089521dbaa05ecab76de2cedff9df3e442438fb815ad26,9a177a540f1683f02a8d86c51573f9a2ebb0856ab23be2fa5870883b1cdc6584,96f9891dd5a648b96d720811c5dc82b4657868c296caaaec7bc233de455d6977,96f9891dd5a648b96d720811c5dc82b4657868c296caaaec7bc233de455d6977,preserve,0.0,121,70,1515,1287,1594,1361,1394,1217,0.9924999999999999
290,b11f6ab2f813a31e77bd4a1e9c99ef5a9e885cc8a3f93a0a836e7c45f9ab3225,b6b3b8ea71cb0779a7aac5544b9205c7cd98efd54851da683948e560b6ece2dc,da705790a427c25ffa21b1883a032e21aef83ca03d5a1c06b6047f890ad24fbf,da705790a427c25ffa21b1883a032e21aef83ca03d5a1c06b6047f890ad24fbf,preserve,0.0,121,70,1514,1290,1594,1361,1393,1220,0.9924999999999999
291,aded762a8d83ba8a9992b8d4e75b95ed1e87cd9c4b393da1a8be9deb9425ca35,bf50184ea3777e5a716a848169a0023ff8338977ec0a5f557d877aec5d6c1f80,c18a207b40c13f78e83352f2bdd3e983affa936f6c6623610a5286ee4d990070,c18a207b40c13f78e83352f2bdd3e983affa936f6c6623610a5286ee4d990070,preserve,0.0,144,71,1547,1293,1620,1361,1403,1222,0.9924999999999999
292,b069a16feb862831a980c3b1aa26f8aba6fd74422d2c1a4b0c66a6ebc52ec943,9a722e28171f8c4601d41864ab415b6d36ce09b9dd45b24c19bf479e5a01bd16,73c81ba3698b9def68e681c3ed9a0d4e68ca234f8a43ca80510c744032b131af,73c81ba3698b9def68e681c3ed9a0d4e68ca234f8a43ca80510c744032b131af,preserve,0.0,167,70,1571,1296,1690,1361,1404,1226,0.9924999999999999
293,47921d25e1ade3ddfad10158f2bba1c08cbb94bd5231cd452197213763d5727b,7f3633279106a5b82556792293a7f8d7b1b3bd7b3b839b660f2dc1d0017d7228,2ce4d8d55a41cbbd7d0c8510d4aa1c43f62e4c3ade138faec61522029785b276,2ce4d8d55a41cbbd7d0c8510d4aa1c43f62e4c3ade138faec61522029785b276,preserve,0.0,138,62,1545,1298,1622,1361,1407,1236,0.9924999999999999
294,95d65c75c8caffe26e630fd2b75bc19f212681e7c9ef3025ebea246a067f967d,29760b6bc8024da1f6192ea625b241e833990d152f00949e1b98399a694a759f,263fc397098ed4afbe762dffc6994773648935d7af61f9251914b721c426f08e,263fc397098ed4afbe762dffc6994773648935d7af61f9251914b721c426f08e,preserve,0.0,174,70,1576,1312,1690,1361,1402,1242,0.9924999999999999
295,003b8c3d8242600cae29fbcea8a06ade5fe0d71e64525c858eef6405323f0568,76905ad9b2e76c296c7f719df1357ea3a4cb70331e54008bfee1f0e4b0ae5d52,e0a6431b823a977faeec3e55322f7ddaf8dd0c9da34315d4834981fc63f70b51,e0a6431b823a977faeec3e55322f7ddaf8dd0c9da34315d4834981fc63f70b51,preserve,0.0,177,60,1581,1297,1690,1361,1404,1237,0.9924999999999999
296,99017b5595279bed0a57cd9cb6774e0f9b5ba7f2a8bb8096e921c0b3de8b9196,81b42c6764f91cd0ff119d3b2f33bd0f60404c9def61be37dc7a89dfecd236ce,1203d0db2c2e6c8861e6be97feb9643fbbeadaf1201907c02b00417395009263,1203d0db2c2e6c8861e6be97feb9643fbbeadaf1201907c02b00417395009263,preserve,0.0,180,69,1571,1294,1690,1361,1391,1225,0.9924999999999999
297,ac15f90fbd0be97d89b2112b850e3fb26671a1e8db0b35d5add6360d40d5baef,5baf85dd836d42f15750493389cae245f541446692c01894e54ecb1c6ebc7279,5842ada14d5cd662d0c10ccfd0175eb6d41056d65fcfe8e528cdc943acd2a7bf,5842ada14d5cd662d0c10ccfd0175eb6d41056d65fcfe8e528cdc943acd2a7bf,preserve,0.0,136,73,1524,1296,1642,1361,1388,1223,0.9924999999999999
298,ad05f0225c4b15a5612e4027cf413017a6089bdd2e39b36fe0439bef03dde80c,fb401488da60ab6ad0011dc97edcefeb24b625b230b9670922a4de38bb274904,a01db4f2ca15c43e2d154adab6d1f7d7cec255545f70dfdc4c1b01a86f0a5f24,a01db4f2ca15c43e2d154adab6d1f7d7cec255545f70dfdc4c1b01a86f0a5f24,preserve,0.0,134,64,1526,1294,1642,1361,1392,1230,0.9924999999999999
