global_ordinal,source_docx,source_ordinal,relationship_id,media_path,extracted_file,detected_format,width_px,height_px,mode,bytes,sha256,duplicate_group,analysis_file,thumbnail_file,source_repository,source_commit,pipeline_repository,pipeline_commit,manuscript_left_page,manuscript_right_page,date_begin,date_end,record_begin,record_end,year_or_transition,hand_or_priest_notes,condition_notes,content_qc_status,confidence,research_notes
250,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,250,rId254,word/media/image250.png,raw/fs_0250.png,PNG,1786,1361,RGB,2098830,6a776e0f12c8a5fed531ca1ea00046490b7d577b0d99e1e232bc409e050c161f,,analysis/fs_0250_analysis.png,thumbnails/fs_0250.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
251,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,251,rId255,word/media/image251.png,raw/fs_0251.png,PNG,1786,1361,RGB,2092649,8a9cd42dee3daf130858ab50d6ac137a79e9547f524fcc8dd07563f05921186f,,analysis/fs_0251_analysis.png,thumbnails/fs_0251.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
252,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,252,rId256,word/media/image252.png,raw/fs_0252.png,PNG,1786,1361,RGB,2119349,6cc0f44148d4584473a2255a62810de7ec04e333c30e7b77fd6381ee5b743866,,analysis/fs_0252_analysis.png,thumbnails/fs_0252.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
253,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,253,rId257,word/media/image253.png,raw/fs_0253.png,PNG,1786,1361,RGB,2035345,001bf0609e43de7b4c614e636ddc1ed787d8685d3b2f4353789117f80f505e1c,,analysis/fs_0253_analysis.png,thumbnails/fs_0253.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
254,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,254,rId258,word/media/image254.png,raw/fs_0254.png,PNG,1786,1361,RGB,2075230,5e99e5e2644d03644e63266a9ad22e69a79c040a4a9f588473c1e70d94fda30f,,analysis/fs_0254_analysis.png,thumbnails/fs_0254.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
255,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,255,rId259,word/media/image255.png,raw/fs_0255.png,PNG,1786,1361,RGB,2077920,97e3720a481359c7a83a36ac6c1154f0602321da3140695a1017e27f6215ffea,,analysis/fs_0255_analysis.png,thumbnails/fs_0255.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
256,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,256,rId260,word/media/image256.png,raw/fs_0256.png,PNG,1786,1361,RGB,2026087,38d14c211899eefeeb647369fc3d4b71c37ca64b83fe958ceed2c845266afc42,,analysis/fs_0256_analysis.png,thumbnails/fs_0256.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
257,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,257,rId261,word/media/image257.png,raw/fs_0257.png,PNG,1786,1361,RGB,2050035,1466972dc0c2b09e2afc38cb22a8bfcab064a2638f6284400652a730adbfdcac,,analysis/fs_0257_analysis.png,thumbnails/fs_0257.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
258,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,258,rId262,word/media/image258.png,raw/fs_0258.png,PNG,1786,1361,RGB,2115780,7435ec4af0bc920e62ae4e878d40d8145c76ad8650ab042b775e5a48b6119e27,,analysis/fs_0258_analysis.png,thumbnails/fs_0258.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
259,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,259,rId263,word/media/image259.png,raw/fs_0259.png,PNG,1786,1361,RGB,2024341,4da6cacd8b5d7a19255a0ff7f6662b9fbdafbddec5ce47940ed9593d8a3453ae,,analysis/fs_0259_analysis.png,thumbnails/fs_0259.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
