global_ordinal,route,pipeline_action,decision_before,input_pixel_sha256,output_pixel_sha256,output_sha256,output_width,output_height
32,preserve,preserve-and-continue,correction-candidate,d03318b787a2a7d66cbb02ebe9944cc8ff39efa0cb4d596ed8d8c05ace523e2a,d03318b787a2a7d66cbb02ebe9944cc8ff39efa0cb4d596ed8d8c05ace523e2a,b54dbb26eb3be1913aa3cabc56854136cf385da02c3fb24e9e2cc947eb7a61eb,1692,1318
33,preserve,preserve-and-continue,correction-candidate,4b71c375867c6b58a4f769cde9469fd5ad1e45b54cabbce098bec9512db3b05f,4b71c375867c6b58a4f769cde9469fd5ad1e45b54cabbce098bec9512db3b05f,bf6709429fdf2e330b61872d4f25f7c178cb8a7c2c3a8dbc8804aa99a769fb2b,1624,1243
34,preserve,preserve-and-continue,correction-candidate,bc864e0652c80f0bc50880903effe55dca1b549ac7f31f02177849fec140496a,bc864e0652c80f0bc50880903effe55dca1b549ac7f31f02177849fec140496a,a2b12844a7dc5a955bd63411d081c9bf6fc6cac7393bc7ebef3d31e00db7b93d,1623,1276
35,preserve,preserve-and-continue,correction-candidate,26bec878e24bca50ef25d3e334318e000d59357f703aecf56a4f3eb0b3e37181,26bec878e24bca50ef25d3e334318e000d59357f703aecf56a4f3eb0b3e37181,ed1adb3007ea7e2a1de3451f895b2c322b52841a137a7c8f169b6ca67acb7869,1602,1232
36,preserve,preserve-and-continue,correction-candidate,e1da145178e11f082e4ace8aea3088b01af38317f68205619e7ef9a140e50a56,e1da145178e11f082e4ace8aea3088b01af38317f68205619e7ef9a140e50a56,c040b975169fd197857ef500824fa89c8de96e08408c476d47b693751bbb11a3,1653,1269
37,preserve,preserve-and-continue,correction-candidate,ca31cd0403f2162d17b552a70f52ac4cc0cd9e0f1a0931da0f745c33345d0cca,ca31cd0403f2162d17b552a70f52ac4cc0cd9e0f1a0931da0f745c33345d0cca,d5f716d9f238af57fc4b3401604b91e3553f17ff6f7dab40680e7fbaf94f43b3,1711,1317
38,preserve,preserve-and-continue,correction-candidate,65be705dfc6e503dd68047d1a206c63ed33b00e637efcebfca1acfb86034b5de,65be705dfc6e503dd68047d1a206c63ed33b00e637efcebfca1acfb86034b5de,fe575683721df8faf0e42cd6431eec54b7cd92bd6cdec25a2856df188b10bcd4,1650,1273
39,preserve,preserve-and-continue,correction-candidate,e6b924c154562869d3b87d8cce12ccec4fabedaf9e7c8911517d5dd8a3bcf3db,e6b924c154562869d3b87d8cce12ccec4fabedaf9e7c8911517d5dd8a3bcf3db,e93e10da568eb68896eee03ee8b8aaba3f569ae8e3c018c52f1ab2cf96961241,1684,1282
40,preserve,preserve-and-continue,correction-candidate,12e94919d85d25a0dc6a7f64105c5db3c355d6883e62852c53a7b2dcd2a845f3,12e94919d85d25a0dc6a7f64105c5db3c355d6883e62852c53a7b2dcd2a845f3,76577ec80136844180c4b5e4dfed3d150a85e7c00772a73ed67f3259c1a7dacf,1661,1284
41,preserve,preserve-and-continue,correction-candidate,c264a5c4fea1fd278294282d3e487c05708a6170592152933c7c9d44daa7d777,c264a5c4fea1fd278294282d3e487c05708a6170592152933c7c9d44daa7d777,c3954be4bf759e59bd34d2d0f258d977bd41dfab7e5368736c2ea53660a974fb,1626,1255
